GEO_ID,ZIP,Total Population,Median Household Income in $,Bachelors Degree or Higher %,Employment Rate %,Total Housing Units,Insured Population %,Total Households,CITY_NAME,Number of establishments,Annual payroll ($1000),Number of employees,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2,Crime Score per Person (out of 100),Normalized Total Population,Normalized Median Household Income in $,Normalized Bachelors Degree or Higher %,Normalized Employment Rate %,Normalized Total Housing Units,Normalized Insured Population %,Normalized Total Households,Normalized Number of establishments,Normalized Annual payroll ($1000),Normalized Number of employees,Normalized Crime Score per Person (out of 100),City Score
860Z200US01001,01001,16984,73398.0,35.4,58.8,7526,96.2,6611,Agawam,475,447397,7616,28736.0,82.0,0.0,13.0,8.0,61.0,376.0,133.0,228.0,15.0,1.0,23.608517311363297,0.24466276758189517,0.29359199999999996,0.354,0.588,0.25231326270618215,0.9620000000000001,0.23582078904187773,0.22342427093132644,0.03785564043094121,0.11342109966045154,0.7194097968727431,54.16291399316649
860Z200US01002,01002,27558,74265.0,72.5,58.5,11314,98.3,8782,Amherst,502,315640,7450,39603.0,99.0,0.0,28.0,2.0,69.0,173.0,55.0,103.0,15.0,2.0,18.12656947716392,0.39698637241061396,0.29706,0.725,0.585,0.3793080327209334,0.983,0.3132624670043519,0.2361241768579492,0.02670727417846406,0.11094894859117174,0.7845634376560493,64.91982224813482
860Z200US01003,01003,13253,,41.0,28.0,119,96.9,19,Amherst,15,9307,214,39603.0,99.0,0.0,28.0,2.0,69.0,173.0,55.0,103.0,15.0,2.0,18.12656947716392,0.19091590077501513,0.0,0.41000000000000003,0.28,0.003989540029502481,0.9690000000000001,0.0006777484483127632,0.0070555032925682035,0.0007874939829519864,0.0031869899326860073,0.7845634376560493,38.59535861684008
860Z200US01005,01005,4900,97409.0,34.5,64.9,1985,99.5,1681,Barre,99,36543,818,8551.0,64.0,0.0,18.0,3.0,43.0,203.0,20.0,183.0,0.0,3.0,61.742312198633876,0.0705868794837074,0.389636,0.34500000000000003,0.649,0.0665482097358187,0.995,0.05996290219019762,0.04656632173095014,0.003092015968519871,0.012182045630547448,0.2661848394425588,41.99048927974379
860Z200US01007,01007,15423,99500.0,45.0,67.2,6384,99.2,6446,Belchertown,229,66152,1597,15195.0,16.0,0.0,1.0,1.0,14.0,55.0,12.0,38.0,5.0,0.0,5.946018260293392,0.22217580454637126,0.39799999999999996,0.45,0.672,0.21402708864154488,0.9920000000000001,0.22993507883284586,0.10771401693320791,0.005597324805011261,0.02378328468457735,0.9293308237255938,60.37964050006092
860Z200US01008,01008,1317,93405.0,33.1,61.8,614,96.1,531,Blandford,19,3829,124,,,,,,,,,,,,,0.018972024546947477,0.37362,0.331,0.618,0.020584685530374146,0.961,0.01894128558179354,0.008936970837253057,0.00032398350281757346,0.0018466670637993685,1.0,51.952901241717356
860Z200US01009,01009,980,68510.0,38.1,58.9,460,100.0,307,Bondsville,14,4920,115,,,,,,,,,,,,,0.01411737589674148,0.27404,0.381,0.589,0.015421751374547406,1.0,0.010950988085895699,0.00658513640639699,0.00041629637865303246,0.0017126347769107048,1.0,50.88861213822552
860Z200US01010,01010,3711,88438.0,41.5,59.4,1681,96.2,1480,Brimfield,83,23807,465,,,,,,,,,,,,,0.053458757094701666,0.353752,0.41500000000000004,0.594,0.05635644361003085,0.9620000000000001,0.052793037026467864,0.039040451552210725,0.002014383716787143,0.006925001489247632,1.0,53.85268377343174
860Z200US01011,01011,1201,80640.0,20.4,58.5,614,92.3,512,Chester,8,1269,26,5295.0,9.0,0.0,3.0,0.0,6.0,28.0,4.0,23.0,1.0,2.0,26.290315210549934,0.017300988216312773,0.32255999999999996,0.204,0.585,0.020584685530374146,0.923,0.018263537133480775,0.0037629350893697085,0.00010737400498184922,0.0003872043843450289,0.6875362909106877,42.05878103425265
860Z200US01012,01012,519,73906.0,20.1,65.3,318,95.2,198,Chesterfield,14,3546,74,,,,,,,,,,,,,0.007476447031029416,0.295624,0.201,0.653,0.010661123776317555,0.9520000000000001,0.007062852250838268,0.00658513640639699,0.0003000379997365149,0.001102043247751236,1.0,48.4863192816457
860Z200US01013,01013,23656,62000.0,24.0,60.8,10538,97.2,9350,Chicopee,307,219468,5074,55293.0,340.0,2.0,35.0,57.0,246.0,1320.0,245.0,971.0,104.0,4.0,45.48560656078182,0.3407761675646086,0.248,0.24,0.608,0.35329220866300126,0.9720000000000001,0.33352357851180714,0.14440263405456255,0.018569864558988562,0.07556442485256448,0.4593978344369286,47.76569429194488
860Z200US01020,01020,29781,67617.0,21.5,56.1,13882,96.9,13311,Chicopee,525,390196,7917,55293.0,340.0,2.0,35.0,57.0,246.0,1320.0,245.0,971.0,104.0,4.0,45.48560656078182,0.42900976691924286,0.270468,0.215,0.561,0.4654016360466676,0.9690000000000001,0.47481629449953633,0.24694261523988711,0.03301568735058916,0.1179037350330613,0.4593978344369286,50.90216324232923
860Z200US01022,01022,2158,52207.0,30.7,38.7,1137,96.2,1077,Chicopee,74,148856,2810,55293.0,340.0,2.0,35.0,57.0,246.0,1320.0,245.0,971.0,104.0,4.0,45.48560656078182,0.031087037944049094,0.20882799999999999,0.307,0.387,0.03811854633230522,0.9620000000000001,0.03841763572804452,0.034807149576669805,0.012595165394466626,0.041847858461905044,0.4593978344369286,35.95273856669958
