CITY_NAME,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Abington,16448.0,23.0,4.0,5.0,3.0,11.0,153.0,23.0,122.0,8.0,1.0
Acton,23780.0,32.0,0.0,6.0,2.0,24.0,66.0,13.0,50.0,3.0,0.0
Acushnet,10533.0,12.0,0.0,5.0,0.0,7.0,35.0,14.0,19.0,2.0,0.0
Adams,8028.0,26.0,0.0,10.0,2.0,14.0,94.0,34.0,59.0,1.0,2.0
Agawam,28736.0,82.0,0.0,13.0,8.0,61.0,376.0,133.0,228.0,15.0,1.0
Amesbury,17595.0,25.0,0.0,3.0,3.0,19.0,132.0,18.0,107.0,7.0,0.0
Amherst,39603.0,99.0,0.0,28.0,2.0,69.0,173.0,55.0,103.0,15.0,2.0
Andover,36547.0,8.0,0.0,6.0,1.0,1.0,215.0,28.0,180.0,7.0,0.0
Aquinnah,328.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Arlington,45614.0,34.0,0.0,5.0,8.0,21.0,167.0,16.0,139.0,12.0,3.0
Ashburnham,6330.0,8.0,0.0,2.0,0.0,6.0,28.0,7.0,18.0,3.0,0.0
Ashland,17742.0,21.0,0.0,4.0,1.0,16.0,77.0,9.0,60.0,8.0,0.0
Athol,11679.0,47.0,1.0,7.0,2.0,37.0,101.0,9.0,88.0,4.0,1.0
Attleboro,44959.0,123.0,0.0,27.0,14.0,82.0,522.0,69.0,427.0,26.0,1.0
Auburn,16724.0,28.0,0.0,0.0,1.0,27.0,305.0,29.0,263.0,13.0,3.0
Avon3,4504.0,10.0,0.0,1.0,2.0,7.0,111.0,9.0,98.0,4.0,
Ayer,8192.0,14.0,0.0,1.0,1.0,12.0,57.0,14.0,40.0,3.0,0.0
Barnstable,44032.0,178.0,2.0,22.0,14.0,140.0,425.0,61.0,350.0,14.0,7.0
Barre,5573.0,16.0,0.0,1.0,1.0,14.0,18.0,1.0,10.0,7.0,0.0
Becket3,1724.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,0.0,0.0
Bedford,14193.0,7.0,0.0,0.0,1.0,6.0,40.0,2.0,37.0,1.0,0.0
Belchertown,15195.0,16.0,0.0,1.0,1.0,14.0,55.0,12.0,38.0,5.0,0.0
Bellingham,17143.0,25.0,0.0,3.0,2.0,20.0,194.0,16.0,170.0,8.0,2.0
Belmont,26331.0,6.0,0.0,1.0,0.0,5.0,179.0,76.0,98.0,5.0,2.0
Berkley,6799.0,8.0,0.0,2.0,0.0,6.0,19.0,9.0,9.0,1.0,0.0
Berlin,3241.0,4.0,0.0,2.0,1.0,1.0,31.0,4.0,26.0,1.0,0.0
Bernardston,2113.0,5.0,0.0,3.0,0.0,2.0,12.0,3.0,9.0,0.0,0.0
Beverly,42317.0,47.0,0.0,4.0,2.0,41.0,206.0,19.0,177.0,10.0,1.0
Billerica,43882.0,22.0,0.0,2.0,2.0,18.0,169.0,21.0,135.0,13.0,0.0
Blackstone,9294.0,13.0,0.0,1.0,2.0,10.0,21.0,5.0,12.0,4.0,0.0
Bolton,5393.0,2.0,0.0,0.0,0.0,2.0,25.0,2.0,23.0,0.0,0.0
"Boston3,4",698941.0,4244.0,42.0,231.0,1039.0,2932.0,,1703.0,10590.0,,
Bourne,19734.0,54.0,0.0,13.0,2.0,39.0,213.0,43.0,157.0,13.0,0.0
Boxborough,6540.0,4.0,0.0,0.0,0.0,4.0,26.0,1.0,21.0,4.0,0.0
Boxford,8352.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,11.0,0.0,0.0
Boylston,4694.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0
Braintree,37145.0,45.0,0.0,3.0,4.0,38.0,486.0,52.0,417.0,17.0,1.0
Brewster,9725.0,25.0,0.0,4.0,0.0,21.0,38.0,9.0,28.0,1.0,0.0
Bridgewater,27270.0,59.0,0.0,4.0,3.0,52.0,95.0,23.0,62.0,10.0,0.0
Brockton,95287.0,782.0,5.0,63.0,148.0,566.0,1853.0,248.0,1317.0,288.0,16.0
Brookfield,3440.0,6.0,0.0,2.0,1.0,3.0,26.0,4.0,20.0,2.0,0.0
Brookline,58928.0,57.0,1.0,2.0,14.0,40.0,503.0,44.0,453.0,6.0,0.0
Burlington,29082.0,45.0,0.0,12.0,3.0,30.0,451.0,15.0,424.0,12.0,0.0
Cambridge,119908.0,334.0,1.0,26.0,67.0,240.0,1983.0,161.0,1724.0,98.0,8.0
Canton,23706.0,85.0,0.0,0.0,5.0,80.0,157.0,18.0,132.0,7.0,1.0
Carlisle,5255.0,1.0,0.0,1.0,0.0,0.0,22.0,4.0,18.0,0.0,0.0
Carver,11721.0,26.0,0.0,6.0,3.0,17.0,68.0,13.0,49.0,6.0,0.0
Charlton,13679.0,8.0,0.0,2.0,0.0,6.0,55.0,16.0,36.0,3.0,1.0
Chatham,6117.0,8.0,0.0,2.0,1.0,5.0,59.0,12.0,47.0,0.0,0.0
Chelmsford,35218.0,34.0,0.0,4.0,1.0,29.0,397.0,17.0,364.0,16.0,2.0
Chelsea,40496.0,270.0,0.0,27.0,65.0,178.0,594.0,105.0,406.0,83.0,2.0
Cheshire,3133.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Chicopee,55293.0,340.0,2.0,35.0,57.0,246.0,1320.0,245.0,971.0,104.0,4.0
Chilmark,920.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,6.0,0.0,0.0
Clinton,13964.0,4.0,1.0,0.0,0.0,3.0,14.0,1.0,11.0,2.0,0.0
Cohasset,8609.0,3.0,0.0,0.0,0.0,3.0,53.0,10.0,40.0,3.0,0.0
Concord,19253.0,17.0,0.0,4.0,1.0,12.0,89.0,6.0,82.0,1.0,1.0
Dalton,6546.0,6.0,0.0,1.0,0.0,5.0,22.0,8.0,12.0,2.0,1.0
Danvers,27664.0,39.0,0.0,2.0,4.0,33.0,357.0,26.0,315.0,16.0,3.0
Dartmouth,34035.0,77.0,0.0,4.0,16.0,57.0,502.0,40.0,444.0,18.0,1.0
Dedham,25203.0,7.0,0.0,5.0,1.0,1.0,327.0,8.0,297.0,22.0,0.0
Deerfield,5032.0,5.0,0.0,2.0,0.0,3.0,43.0,15.0,27.0,1.0,1.0
Dennis,13738.0,88.0,0.0,17.0,1.0,70.0,194.0,45.0,144.0,5.0,0.0
Douglas,8946.0,8.0,0.0,2.0,1.0,5.0,24.0,6.0,15.0,3.0,0.0
Dover,6118.0,1.0,0.0,0.0,0.0,1.0,13.0,3.0,10.0,0.0,0.0
Dracut,31786.0,30.0,0.0,2.0,4.0,24.0,141.0,24.0,107.0,10.0,1.0
