"GEO_ID","NAME","H1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US01001","ZCTA5 01001","7526",
"860Z200US01002","ZCTA5 01002","11314",
"860Z200US01003","ZCTA5 01003","119",
"860Z200US01005","ZCTA5 01005","1985",
"860Z200US01007","ZCTA5 01007","6384",
"860Z200US01008","ZCTA5 01008","614",
"860Z200US01009","ZCTA5 01009","460",
"860Z200US01010","ZCTA5 01010","1681",
"860Z200US01011","ZCTA5 01011","614",
"860Z200US01012","ZCTA5 01012","318",
"860Z200US01013","ZCTA5 01013","10538",
"860Z200US01020","ZCTA5 01020","13882",
"860Z200US01022","ZCTA5 01022","1137",
"860Z200US01026","ZCTA5 01026","582",
"860Z200US01027","ZCTA5 01027","8615",
"860Z200US01028","ZCTA5 01028","6347",
"860Z200US01029","ZCTA5 01029","924",
"860Z200US01030","ZCTA5 01030","4835",
"860Z200US01031","ZCTA5 01031","698",
"860Z200US01032","ZCTA5 01032","292",
"860Z200US01033","ZCTA5 01033","2496",
"860Z200US01034","ZCTA5 01034","1146",
"860Z200US01035","ZCTA5 01035","2336",
"860Z200US01036","ZCTA5 01036","2008",
"860Z200US01037","ZCTA5 01037","307",
"860Z200US01038","ZCTA5 01038","1215",
"860Z200US01039","ZCTA5 01039","699",
"860Z200US01040","ZCTA5 01040","16874",
"860Z200US01050","ZCTA5 01050","1218",
"860Z200US01053","ZCTA5 01053","857",
"860Z200US01054","ZCTA5 01054","829",
"860Z200US01056","ZCTA5 01056","8755",
"860Z200US01057","ZCTA5 01057","3559",
"860Z200US01060","ZCTA5 01060","7859",
"860Z200US01062","ZCTA5 01062","4896",
"860Z200US01063","ZCTA5 01063","37",
"860Z200US01066","ZCTA5 01066","91",
"860Z200US01068","ZCTA5 01068","753",
"860Z200US01069","ZCTA5 01069","3909",
"860Z200US01070","ZCTA5 01070","349",
"860Z200US01071","ZCTA5 01071","636",
"860Z200US01072","ZCTA5 01072","712",
"860Z200US01073","ZCTA5 01073","2551",
"860Z200US01074","ZCTA5 01074","263",
"860Z200US01075","ZCTA5 01075","7441",
"860Z200US01077","ZCTA5 01077","4116",
"860Z200US01079","ZCTA5 01079","337",
"860Z200US01080","ZCTA5 01080","1177",
"860Z200US01081","ZCTA5 01081","828",
"860Z200US01082","ZCTA5 01082","4964",
"860Z200US01083","ZCTA5 01083","1177",
"860Z200US01084","ZCTA5 01084","90",
"860Z200US01085","ZCTA5 01085","17166",
"860Z200US01088","ZCTA5 01088","322",
"860Z200US01089","ZCTA5 01089","12885",
"860Z200US01092","ZCTA5 01092","578",
"860Z200US01093","ZCTA5 01093","141",
"860Z200US01094","ZCTA5 01094","25",
"860Z200US01095","ZCTA5 01095","5749",
"860Z200US01096","ZCTA5 01096","1245",
"860Z200US01097","ZCTA5 01097","47",
"860Z200US01098","ZCTA5 01098","607",
"860Z200US01103","ZCTA5 01103","1713",
"860Z200US01104","ZCTA5 01104","9690",
"860Z200US01105","ZCTA5 01105","5627",
"860Z200US01106","ZCTA5 01106","6134",
"860Z200US01107","ZCTA5 01107","4273",
"860Z200US01108","ZCTA5 01108","11048",
"860Z200US01109","ZCTA5 01109","11138",
"860Z200US01118","ZCTA5 01118","5980",
"860Z200US01119","ZCTA5 01119","5224",
"860Z200US01128","ZCTA5 01128","1103",
"860Z200US01129","ZCTA5 01129","3042",
"860Z200US01144","ZCTA5 01144","0",
"860Z200US01151","ZCTA5 01151","3788",
"860Z200US01201","ZCTA5 01201","22631",
"860Z200US01220","ZCTA5 01220","4336",
"860Z200US01222","ZCTA5 01222","399",
"860Z200US01223","ZCTA5 01223","1960",
"860Z200US01224","ZCTA5 01224","98",
"860Z200US01225","ZCTA5 01225","1539",
"860Z200US01226","ZCTA5 01226","2927",
"860Z200US01229","ZCTA5 01229","126",
"860Z200US01230","ZCTA5 01230","5069",
"860Z200US01235","ZCTA5 01235","1542",
"860Z200US01236","ZCTA5 01236","823",
"860Z200US01237","ZCTA5 01237","1573",
"860Z200US01238","ZCTA5 01238","3071",
"860Z200US01240","ZCTA5 01240","3091",
"860Z200US01242","ZCTA5 01242","223",
"860Z200US01243","ZCTA5 01243","104",
"860Z200US01244","ZCTA5 01244","177",
"860Z200US01245","ZCTA5 01245","757",
"860Z200US01247","ZCTA5 01247","7889",
"860Z200US01253","ZCTA5 01253","628",
"860Z200US01254","ZCTA5 01254","572",
"860Z200US01255","ZCTA5 01255","626",
"860Z200US01256","ZCTA5 01256","350",
"860Z200US01257","ZCTA5 01257","1180",
"860Z200US01258","ZCTA5 01258","173",
"860Z200US01259","ZCTA5 01259","390",
"860Z200US01260","ZCTA5 01260","349",
"860Z200US01262","ZCTA5 01262","1458",
"860Z200US01264","ZCTA5 01264","138",
"860Z200US01266","ZCTA5 01266","779",
"860Z200US01267","ZCTA5 01267","3372",
"860Z200US01270","ZCTA5 01270","374",
"860Z200US01301","ZCTA5 01301","8753",
"860Z200US01330","ZCTA5 01330","782",
"860Z200US01331","ZCTA5 01331","6101",
"860Z200US01337","ZCTA5 01337","1200",
"860Z200US01338","ZCTA5 01338","61",
"860Z200US01339","ZCTA5 01339","796",
"860Z200US01340","ZCTA5 01340","996",
"860Z200US01341","ZCTA5 01341","728",
"860Z200US01342","ZCTA5 01342","555",
"860Z200US01343","ZCTA5 01343","93",
"860Z200US01344","ZCTA5 01344","703",
"860Z200US01346","ZCTA5 01346","291",
"860Z200US01347","ZCTA5 01347","78",
"860Z200US01349","ZCTA5 01349","408",
"860Z200US01350","ZCTA5 01350","80",
"860Z200US01351","ZCTA5 01351","1068",
"860Z200US01354","ZCTA5 01354","698",
"860Z200US01355","ZCTA5 01355","412",
"860Z200US01360","ZCTA5 01360","1409",
"860Z200US01364","ZCTA5 01364","3589",
"860Z200US01366","ZCTA5 01366","557",
"860Z200US01367","ZCTA5 01367","279",
"860Z200US01368","ZCTA5 01368","653",
"860Z200US01370","ZCTA5 01370","2041",
"860Z200US01373","ZCTA5 01373","2179",
"860Z200US01375","ZCTA5 01375","1769",
"860Z200US01376","ZCTA5 01376","2585",
"860Z200US01378","ZCTA5 01378","405",
"860Z200US01379","ZCTA5 01379","380",
"860Z200US01380","ZCTA5 01380","41",
"860Z200US01420","ZCTA5 01420","17444",
"860Z200US01430","ZCTA5 01430","2729",
"860Z200US01431","ZCTA5 01431","1243",
"860Z200US01432","ZCTA5 01432","3767",
"860Z200US01434","ZCTA5 01434","199",
"860Z200US01436","ZCTA5 01436","1204",
"860Z200US01438","ZCTA5 01438","174",
"860Z200US01440","ZCTA5 01440","9514",
"860Z200US01450","ZCTA5 01450","4150",
"860Z200US01451","ZCTA5 01451","2093",
"860Z200US01452","ZCTA5 01452","1765",
"860Z200US01453","ZCTA5 01453","18722",
"860Z200US01460","ZCTA5 01460","3889",
"860Z200US01462","ZCTA5 01462","4823",
"860Z200US01463","ZCTA5 01463","4602",
"860Z200US01464","ZCTA5 01464","2598",
"860Z200US01468","ZCTA5 01468","1808",
"860Z200US01469","ZCTA5 01469","2753",
"860Z200US01473","ZCTA5 01473","3301",
"860Z200US01474","ZCTA5 01474","813",
"860Z200US01475","ZCTA5 01475","4305",
"860Z200US01501","ZCTA5 01501","6928",
"860Z200US01503","ZCTA5 01503","1318",
"860Z200US01504","ZCTA5 01504","3869",
"860Z200US01505","ZCTA5 01505","1961",
"860Z200US01506","ZCTA5 01506","1523",
"860Z200US01507","ZCTA5 01507","5239",
"860Z200US01510","ZCTA5 01510","6947",
"860Z200US01515","ZCTA5 01515","978",
"860Z200US01516","ZCTA5 01516","3504",
"860Z200US01518","ZCTA5 01518","1381",
"860Z200US01519","ZCTA5 01519","2740",
"860Z200US01520","ZCTA5 01520","6076",
"860Z200US01521","ZCTA5 01521","1405",
"860Z200US01522","ZCTA5 01522","1349",
"860Z200US01523","ZCTA5 01523","2760",
"860Z200US01524","ZCTA5 01524","2595",
"860Z200US01525","ZCTA5 01525","36",
"860Z200US01527","ZCTA5 01527","5972",
"860Z200US01529","ZCTA5 01529","1191",
"860Z200US01531","ZCTA5 01531","399",
"860Z200US01532","ZCTA5 01532","5897",
"860Z200US01534","ZCTA5 01534","2474",
"860Z200US01535","ZCTA5 01535","2123",
"860Z200US01536","ZCTA5 01536","3035",
"860Z200US01537","ZCTA5 01537","1062",
"860Z200US01540","ZCTA5 01540","4549",
"860Z200US01541","ZCTA5 01541","1383",
"860Z200US01542","ZCTA5 01542","905",
"860Z200US01543","ZCTA5 01543","3376",
"860Z200US01545","ZCTA5 01545","14964",
"860Z200US01550","ZCTA5 01550","7899",
"860Z200US01560","ZCTA5 01560","1985",
"860Z200US01561","ZCTA5 01561","28",
"860Z200US01562","ZCTA5 01562","5515",
"860Z200US01564","ZCTA5 01564","3117",
"860Z200US01566","ZCTA5 01566","2842",
"860Z200US01568","ZCTA5 01568","2953",
"860Z200US01569","ZCTA5 01569","5741",
"860Z200US01570","ZCTA5 01570","8453",
"860Z200US01571","ZCTA5 01571","4657",
"860Z200US01581","ZCTA5 01581","8334",
"860Z200US01583","ZCTA5 01583","2998",
"860Z200US01585","ZCTA5 01585","2134",
"860Z200US01588","ZCTA5 01588","4218",
"860Z200US01590","ZCTA5 01590","3572",
"860Z200US01602","ZCTA5 01602","10258",
"860Z200US01603","ZCTA5 01603","9012",
"860Z200US01604","ZCTA5 01604","17860",
"860Z200US01605","ZCTA5 01605","12044",
"860Z200US01606","ZCTA5 01606","9624",
"860Z200US01607","ZCTA5 01607","4303",
"860Z200US01608","ZCTA5 01608","2553",
"860Z200US01609","ZCTA5 01609","9008",
"860Z200US01610","ZCTA5 01610","9758",
"860Z200US01611","ZCTA5 01611","938",
"860Z200US01612","ZCTA5 01612","1703",
"860Z200US01701","ZCTA5 01701","13297",
"860Z200US01702","ZCTA5 01702","15801",
"860Z200US01718","ZCTA5 01718","273",
"860Z200US01719","ZCTA5 01719","2362",
"860Z200US01720","ZCTA5 01720","8917",
"860Z200US01721","ZCTA5 01721","7495",
"860Z200US01730","ZCTA5 01730","5601",
"860Z200US01731","ZCTA5 01731","446",
"860Z200US01740","ZCTA5 01740","1982",
"860Z200US01741","ZCTA5 01741","1897",
"860Z200US01742","ZCTA5 01742","7308",
"860Z200US01745","ZCTA5 01745","182",
"860Z200US01746","ZCTA5 01746","5562",
"860Z200US01747","ZCTA5 01747","2394",
"860Z200US01748","ZCTA5 01748","6645",
"860Z200US01749","ZCTA5 01749","8502",
"860Z200US01752","ZCTA5 01752","17547",
"860Z200US01754","ZCTA5 01754","4738",
"860Z200US01756","ZCTA5 01756","2234",
"860Z200US01757","ZCTA5 01757","11998",
"860Z200US01760","ZCTA5 01760","15565",
"860Z200US01770","ZCTA5 01770","1562",
"860Z200US01772","ZCTA5 01772","3581",
"860Z200US01773","ZCTA5 01773","2360",
"860Z200US01775","ZCTA5 01775","2773",
"860Z200US01776","ZCTA5 01776","6556",
"860Z200US01778","ZCTA5 01778","5346",
"860Z200US01801","ZCTA5 01801","17544",
"860Z200US01803","ZCTA5 01803","10267",
"860Z200US01810","ZCTA5 01810","13540",
"860Z200US01821","ZCTA5 01821","11378",
"860Z200US01824","ZCTA5 01824","10740",
"860Z200US01826","ZCTA5 01826","12338",
"860Z200US01827","ZCTA5 01827","1167",
"860Z200US01830","ZCTA5 01830","11644",
"860Z200US01832","ZCTA5 01832","10306",
"860Z200US01833","ZCTA5 01833","3139",
"860Z200US01834","ZCTA5 01834","2596",
"860Z200US01835","ZCTA5 01835","5977",
"860Z200US01840","ZCTA5 01840","3285",
"860Z200US01841","ZCTA5 01841","16705",
"860Z200US01843","ZCTA5 01843","10014",
"860Z200US01844","ZCTA5 01844","20177",
"860Z200US01845","ZCTA5 01845","11914",
"860Z200US01850","ZCTA5 01850","6118",
"860Z200US01851","ZCTA5 01851","11182",
"860Z200US01852","ZCTA5 01852","15466",
"860Z200US01854","ZCTA5 01854","10735",
"860Z200US01860","ZCTA5 01860","2761",
"860Z200US01862","ZCTA5 01862","4250",
"860Z200US01863","ZCTA5 01863","4032",
"860Z200US01864","ZCTA5 01864","5875",
"860Z200US01867","ZCTA5 01867","9954",
"860Z200US01876","ZCTA5 01876","11990",
"860Z200US01879","ZCTA5 01879","4665",
"860Z200US01880","ZCTA5 01880","11299",
"860Z200US01886","ZCTA5 01886","9234",
"860Z200US01887","ZCTA5 01887","8320",
"860Z200US01890","ZCTA5 01890","8135",
"860Z200US01901","ZCTA5 01901","1471",
"860Z200US01902","ZCTA5 01902","18621",
"860Z200US01904","ZCTA5 01904","7184",
"860Z200US01905","ZCTA5 01905","9496",
"860Z200US01906","ZCTA5 01906","11303",
"860Z200US01907","ZCTA5 01907","6375",
"860Z200US01908","ZCTA5 01908","1680",
"860Z200US01913","ZCTA5 01913","7889",
"860Z200US01915","ZCTA5 01915","17742",
